@relation tmp

@attribute oldpos_page numeric
@attribute articlesPos numeric
@attribute newspos numeric
@attribute list.size() numeric
@attribute pMaxMr numeric
@attribute pMaxTr numeric
@attribute isOfficial {FALSE,TRUE}
@attribute isFirstSite {FALSE,TRUE}
@attribute isOnlyOneTerm {FALSE,TRUE}
@attribute isNav {FALSE,TRUE}
@attribute isExNav {FALSE,TRUE}
@attribute fixRank1 numeric
@attribute site_num numeric
@attribute pageShowType {FALSE,TRUE}
@attribute vr_num_3_out numeric
@attribute vr_num_3_total numeric
@attribute weixinArticleClickPos numeric
@attribute firstBaikePos numeric
@attribute isFirstVideo {FALSE,TRUE}
@attribute isArticleOld {FALSE,TRUE}
@attribute queryTerms numeric
@attribute wxArticle_top3fr numeric
@attribute wxArticle_top2fr numeric
@attribute pMaxFr numeric
@attribute firstDate numeric
@attribute hasTimeliness {FALSE,TRUE}
@attribute avg3 numeric
@attribute rnum[0] numeric
@attribute maxRNum numeric
@attribute fans[0] numeric
@attribute maxFans numeric
@attribute avgread[0] numeric
@attribute maxAvgRead numeric
@attribute avgpublish[0] numeric
@attribute maxAvgPublish numeric
@attribute hasMingyiVr {FALSE,TRUE}

@data
11,6,-1,11,50,5.3,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,237,2,FALSE,FALSE,4,6.666667,8.5,10,182,FALSE,146,11433,100000,109873,10000000,3602,100000,224,240,FALSE
12,4,6,12,50,5.2,FALSE,TRUE,FALSE,TRUE,TRUE,0,3,FALSE,1,1,234,2,FALSE,FALSE,1,8.666667,9,10,3,FALSE,682,45,95,105229,105229,2666,2666,197,197,FALSE
11,7,-1,11,24,4.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,1,1,-1,-1,FALSE,FALSE,5,9,9,9,158,FALSE,737,15,15,1078,1078,0,0,8,8,FALSE
10,9,-1,10,27,4.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,5,9,9,9,183,FALSE,1158,15,15,0,0,0,0,16,16,FALSE
11,4,-1,11,50,5.4,FALSE,TRUE,FALSE,TRUE,FALSE,0,3,FALSE,0,1,-1,4,FALSE,FALSE,2,5,4,7,259,FALSE,56,6,1452,0,27923,0,2104,136,136,FALSE
12,3,-1,12,50,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,7,15,15,15,186,FALSE,511,29,232,104,3193,0,63,0,13,TRUE
11,5,-1,11,32,4,FALSE,TRUE,FALSE,TRUE,FALSE,0,3,FALSE,1,1,-1,-1,FALSE,FALSE,7,9,9.5,11,136,FALSE,19,2,7,2,602,0,0,0,0,FALSE
14,4,7,14,50,5.3,TRUE,TRUE,FALSE,TRUE,TRUE,0,2,FALSE,0,0,-1,2,FALSE,FALSE,1,1.333333,1,2,12,FALSE,8,75079,75079,654523,1503177,37856,71535,68,232,FALSE
12,4,-1,12,50,5.5,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,1,1,232,10,FALSE,FALSE,3,6.666667,6,8,242,FALSE,593,12150,52951,346006,346006,24710,76124,239,239,FALSE
11,-1,-1,11,50,5.3,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,0,FALSE,FALSE,1,6,7,7,159,FALSE,975,16879,18374,731153,731153,29569,29569,101,101,FALSE
